Source,Pathway,Overlap,Background,Odds_Ratio,P_Value,Mean_Posterior,Genes,Adjusted_P
KEGG,Regulation of actin cytoskeleton,2,211,9.123222748815166,0.019433545597382987,0.00010580343,"F2R, MYL7",0.17907292852193166
KEGG,Taurine and hypotaurine metabolism,1,11,87.5,0.011374286119386281,0.000111871705,CSAD,0.17907292852193166
KEGG,Pyruvate metabolism,1,39,24.67948717948718,0.03979398411598481,0.0001243338,ME2,0.17907292852193166
KEGG,Complement and coagulation cascades,1,79,12.183544303797467,0.07909582085406808,0.00011121887,F2R,0.21138948819777062
KEGG,Peroxisome,1,82,11.73780487804878,0.08198316856687055,0.000101731275,PXMP2,0.21138948819777062
KEGG,TGF-beta signaling pathway,1,89,10.814606741573032,0.08868807067550542,0.00010671357,E2F4,0.21138948819777062
KEGG,Prostate cancer,1,97,9.922680412371134,0.09629583157447923,0.00011517401,NKX3-1,0.22060499597062513
KEGG,Pathways in cancer,2,526,3.659695817490494,0.10104954546531736,0.00011319644000000001,"F2R, NKX3-1",0.2233726794496489
KEGG,Leukocyte transendothelial migration,1,111,8.67117117117117,0.10946947247220033,0.00010038799,MYL7,0.22436876306639003
KEGG,Oxidative phosphorylation,1,119,8.088235294117647,0.11691799709731099,0.000103555896,NDUFA5,0.22664104052709513
KEGG,Platelet activation,1,123,7.825203252032519,0.12062080366638034,0.00011121887,F2R,0.22699972469125768
KEGG,Cell cycle,1,124,7.762096774193548,0.12154427880036166,0.00010671357,E2F4,0.22699972469125768
KEGG,Parkinson disease,1,127,7.578740157480314,0.12430937304521254,0.000103555896,NDUFA5,0.22699972469125768
KEGG,Spliceosome,1,131,7.3473282442748085,0.1279837550163132,0.00010507629,PRPF3,0.2271261004514854
KEGG,Retrograde endocannabinoid signaling,1,140,6.875,0.136199498534904,0.000103555896,NDUFA5,0.23619965178370902
KEGG,Non-alcoholic fatty liver disease (NAFLD),1,144,6.684027777777778,0.13982811335018136,0.000103555896,NDUFA5,0.23619965178370902
KEGG,Phospholipase D signaling pathway,1,146,6.592465753424657,0.1416371761032103,0.00011121887,F2R,0.23619965178370902
KEGG,MicroRNAs in cancer,1,149,6.459731543624161,0.14434423164559998,0.00015805534,FSCN1,0.23619965178370902
KEGG,Cellular senescence,1,158,6.091772151898733,0.15241851274931897,0.00010671357,E2F4,0.23949488069763342
KEGG,Alzheimer disease,1,164,5.86890243902439,0.15776250077701248,0.000103555896,NDUFA5,0.23949488069763342
KEGG,Huntington disease,1,186,5.174731182795699,0.1770939717524012,0.000103555896,NDUFA5,0.2560535523991436
KEGG,Calcium signaling pathway,1,187,5.147058823529412,0.17796293271148,0.00011121887,F2R,0.2560535523991436
KEGG,Focal adhesion,1,197,4.885786802030456,0.1866063981965728,0.00010038799,MYL7,0.25837808981063926
KEGG,Rap1 signaling pathway,1,205,4.6951219512195115,0.19346109969391878,0.00011121887,F2R,0.2649575930590627
KEGG,cAMP signaling pathway,1,212,4.540094339622641,0.19941548246553503,0.00011121887,F2R,0.2673016041559299
KEGG,Thermogenesis,1,217,4.435483870967742,0.203643912422845,0.000103555896,NDUFA5,0.27009613647661546
KEGG,Neuroactive ligand-receptor interaction,1,337,2.8560830860534123,0.29918495067829487,0.00011121887,F2R,0.365993240635584
KEGG,PI3K-Akt signaling pathway,1,350,2.7499999999999996,0.3088777794096585,0.00011121887,F2R,0.37331647481945895
