Rank,Feature,Mean_SHAP,Posterior_Mean,Posterior_SD,Posterior_Median,Coefficient_of_Variation,HDI_95_Lower,HDI_95_Upper,HDI_Width,Relative_Uncertainty
1,EXP_HEPHL1 (341208),0.0003298324601801,0.00032989477,1.9974033e-05,0.00032986014,0.06054668,0.00029048635,0.00036928125,7.8794896e-05,0.2388485741452023
2,CRISPR_ZBTB40 (9923),0.0002544296248205,0.0002539615,1.865126e-05,0.00025334588,0.07344129,0.00021898758,0.00029165883,7.2671246e-05,0.28615063988142864
3,CRISPR_BTBD2 (55643),0.0001857295883062,0.00018593633,2.4113317e-05,0.00018488013,0.12968588,0.00014315748,0.00023644994,9.329246e-05,0.5017441131303002
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00017692217,0.08991774,0.00014631427,0.00020788485,6.157058e-05,0.3478927995739878
5,CRISPR_SLC2A12 (154091),0.000174336868005,0.00017435515,1.3111368e-05,0.00017415443,0.0751992,0.00014971863,0.0002009464,5.1227762e-05,0.2938127248939442
6,EXP_FSCN1 (6624),0.0001580140917086,0.00015805534,8.860028e-06,0.00015807252,0.056056496,0.000141401,0.00017577251,3.4371507e-05,0.21746501659871575
7,EXP_SMIM30 (401397),0.0001281202432245,0.00012801951,1.31771685e-05,0.00012837193,0.10293094,0.00010239828,0.00015363384,5.1235562e-05,0.40021682195901775
8,EXP_ME2 (4200),0.0001243686732389,0.0001243338,1.0296522e-05,0.00012458577,0.08281354,0.000103593076,0.00014363149,4.0038416e-05,0.3220235826757834
9,CRISPR_ERLN (100130933),0.0001231377864338,0.00012321763,1.7084154e-05,0.00012246397,0.13865024,9.267584e-05,0.00015885493,6.61791e-05,0.5370911425180717
10,EXP_NKX3-1 (4824),0.0001153055532489,0.00011517401,9.0583435e-06,0.000115079965,0.0786492,9.8017255e-05,0.00013283895,3.4821693e-05,0.30233984539743997
11,CRISPR_C16orf92 (146378),0.0001142019400206,0.000113877555,9.515526e-06,0.000113443624,0.083559275,9.667409e-05,0.00013350794,3.683385e-05,0.3234513698361059
12,CRISPR_CSAD (51380),0.000111843639248,0.000111871705,7.409657e-06,0.00011201673,0.06623352,9.706559e-05,0.00012616337,2.9097784e-05,0.26009958349930157
13,CRISPR_F2R (2149),0.000111010247294,0.00011121887,1.1686203e-05,0.000110991925,0.10507392,8.9162844e-05,0.00013509249,4.5929643e-05,0.41296627179932793
14,CRISPR_H3C2 (8358),0.0001090774174811,0.00010924076,6.7564583e-06,0.00010916341,0.061849244,9.609959e-05,0.00012235175,2.6252157e-05,0.24031466709618748
15,CRISPR_E2F4 (1874),0.0001070312729504,0.00010671357,1.1802511e-05,0.00010656805,0.11059991,8.431526e-05,0.00012958843,4.527317e-05,0.4242494071804671
16,EXP_PRPF3 (9129),0.0001048730334559,0.00010507629,8.367287e-06,0.00010494383,0.07963059,8.893302e-05,0.000121483485,3.2550466e-05,0.30977935955588326
17,EXP_NDUFA5 (4698),0.0001038448433291,0.000103555896,1.100801e-05,0.00010338466,0.106300175,8.237206e-05,0.00012553167,4.3159613e-05,0.41677600153764893
18,EXP_USP31 (57478),0.0001018890923042,0.00010201627,6.1254837e-06,0.00010188007,0.060044184,9.033407e-05,0.00011427924,2.394517e-05,0.23471911879939272
19,CRISPR_PXMP2 (5827),0.0001017334415853,0.000101731275,8.411321e-06,0.00010179699,0.08268176,8.568684e-05,0.000118253985,3.2567143e-05,0.3201291078403394
20,CRISPR_MYL7 (58498),0.0001006947174834,0.00010038799,1.0208777e-05,0.00010003842,0.10169321,8.1438e-05,0.00012085184,3.941384e-05,0.39261509445047843
