Final_Rank,Feature,Mean_SHAP,Posterior_Mean,Posterior_SD,HDI_95_Lower,HDI_95_Upper,Bayesian_Stability,Gene
1,EXP_HEPHL1 (341208),0.0003298324601801,0.00032989477,1.9974033e-05,0.00029048635,0.00036928125,16.51618222474765,HEPHL1
2,CRISPR_ZBTB40 (9923),0.0002544296248205,0.0002539615,1.865126e-05,0.00021898758,0.00029165883,13.616318558489148,ZBTB40
3,CRISPR_BTBD2 (55643),0.0001857295883062,0.00018593633,2.4113317e-05,0.00014315748,0.00023644994,7.710939695148685,BTBD2
4,EXP_ANAPC16 (119504),0.0001772662727572,0.00017698147,1.5913774e-05,0.00014631427,0.00020788485,11.121275957212433,ANAPC16
5,CRISPR_SLC2A12 (154091),0.000174336868005,0.00017435515,1.3111368e-05,0.00014971863,0.0002009464,13.298013808480702,SLC2A12
6,EXP_FSCN1 (6624),0.0001580140917086,0.00015805534,8.860028e-06,0.000141401,0.00017577251,17.839145707255067,FSCN1
7,EXP_SMIM30 (401397),0.0001281202432245,0.00012801951,1.31771685e-05,0.00010239828,0.00015363384,9.715251798830211,SMIM30
8,EXP_ME2 (4200),0.0001243686732389,0.0001243338,1.0296522e-05,0.000103593076,0.00014363149,12.075320050174458,ME2
9,CRISPR_ERLN (100130933),0.0001231377864338,0.00012321763,1.7084154e-05,9.267584e-05,0.00015885493,7.212392852639761,ERLN
10,EXP_NKX3-1 (4824),0.0001153055532489,0.00011517401,9.0583435e-06,9.8017255e-05,0.00013283895,12.714687498249,NKX3-1
11,CRISPR_C16orf92 (146378),0.0001142019400206,0.000113877555,9.515526e-06,9.667409e-05,0.00013350794,11.967552375101777,C16orf92
12,CRISPR_CSAD (51380),0.000111843639248,0.000111871705,7.409657e-06,9.706559e-05,0.00012616337,15.098095344848073,CSAD
13,CRISPR_F2R (2149),0.000111010247294,0.00011121887,1.1686203e-05,8.9162844e-05,0.00013509249,9.517109478645915,F2R
14,CRISPR_H3C2 (8358),0.0001090774174811,0.00010924076,6.7564583e-06,9.609959e-05,0.00012235175,16.168346374352314,H3C2
15,CRISPR_E2F4 (1874),0.0001070312729504,0.00010671357,1.1802511e-05,8.431526e-05,0.00012958843,9.041598677530192,E2F4
16,EXP_PRPF3 (9129),0.0001048730334559,0.00010507629,8.367287e-06,8.893302e-05,0.000121483485,12.557988079548853,PRPF3
17,EXP_NDUFA5 (4698),0.0001038448433291,0.000103555896,1.100801e-05,8.237206e-05,0.00012553167,9.407322236210735,NDUFA5
18,EXP_USP31 (57478),0.0001018890923042,0.00010201627,6.1254837e-06,9.033407e-05,0.00011427924,16.654402364487886,USP31
19,CRISPR_PXMP2 (5827),0.0001017334415853,0.000101731275,8.411321e-06,8.568684e-05,0.000118253985,12.094565959746204,PXMP2
20,CRISPR_MYL7 (58498),0.0001006947174834,0.00010038799,1.0208777e-05,8.1438e-05,0.00012085184,9.8334982246127,MYL7
