Rank,Gene,Omics,Mean SHAP Importance
1,HEPHL1,Expression,0.0003256919538007
2,ZBTB40,CRISPR,0.0002523501405192
3,BTBD2,CRISPR,0.0001837730919148
4,SLC2A12,CRISPR,0.0001718655204345
5,ANAPC16,Expression,0.000169712873485
6,FSCN1,Expression,0.0001558469056758
7,SMIM30,Expression,0.0001268125186481
8,ME2,Expression,0.0001213076475195
9,ERLN,CRISPR,0.0001211075873978
10,NKX3-1,Expression,0.0001126025655223
11,CSAD,CRISPR,0.0001100939274877
12,F2R,CRISPR,0.0001093731370952
13,C16orf92,CRISPR,0.0001089325430041
14,H3C2,CRISPR,0.0001073017769275
15,PXMP2,CRISPR,0.0001046521177112
16,E2F4,CRISPR,0.00010401900857
17,PRPF3,Expression,0.0001032614324819
18,NDUFA5,Expression,0.0001014642204
19,PCGF6,Expression,9.865244985883295e-05
20,USP31,Expression,9.775003702880648e-05
